id,hotel,precio,puntaje,link_hotel,provincia
1,La Facha Hostal Restaurant Surf,US$62,8.4,https://www.booking.com/hotel/ec/la-facha-hostal-restaurant-surf.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=107381307_338009137_0_42_0&highlighted_blocks=107381307_338009137_0_42_0&matching_block_id=107381307_338009137_0_42_0&sr_pri_blocks=107381307_338009137_0_42_0__6166&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
2,"Hotel Casa Arnaldo ""Esmeraldas""",US$150,8.9,https://www.booking.com/hotel/ec/casa-arnaldo-esmeraldas.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=476692707_195997650_0_1_0&highlighted_blocks=476692707_195997650_0_1_0&matching_block_id=476692707_195997650_0_1_0&sr_pri_blocks=476692707_195997650_0_1_0__15000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
3,Hotel la Barca,US$60,8.8,https://www.booking.com/hotel/ec/la-barca.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=152433503_362667476_0_2_0&highlighted_blocks=152433503_362667476_0_2_0&matching_block_id=152433503_362667476_0_2_0&sr_pri_blocks=152433503_362667476_0_2_0__6000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
4,Resort Playa Azul Departamentos frente al mar,US$140,9.3,https://www.booking.com/hotel/ec/resort-playa-azul.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=208270701_357917003_2_0_0&highlighted_blocks=208270701_357917003_2_0_0&matching_block_id=208270701_357917003_2_0_0&sr_pri_blocks=208270701_357917003_2_0_0__14000&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
5,Escapaditas a la Playa,US$90,8.8,https://www.booking.com/hotel/ec/escapaditas-a-la-playa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=156665701_200511961_3_0_0&highlighted_blocks=156665701_200511961_3_0_0&matching_block_id=156665701_200511961_3_0_0&sr_pri_blocks=156665701_200511961_3_0_0__9000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
6,Hotel Oceanic Lodge,US$90,8.5,https://www.booking.com/hotel/ec/oceanic-lodge.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=194908121_237565169_2_2_0&highlighted_blocks=194908121_237565169_2_2_0&matching_block_id=194908121_237565169_2_2_0&sr_pri_blocks=194908121_237565169_2_2_0__9025&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
7,Seaside Garden Ecolodge Mompiche,US$70,9.0,https://www.booking.com/hotel/ec/seaside-garden-lodge-mompiche.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=188825203_272938554_2_42_0&highlighted_blocks=188825203_272938554_2_42_0&matching_block_id=188825203_272938554_2_42_0&sr_pri_blocks=188825203_272938554_2_42_0__7000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
8,Hotel RC Tonsupa,US$90,8.6,https://www.booking.com/hotel/ec/rc-tonsupa.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=241659010_193960206_2_42_0&highlighted_blocks=241659010_193960206_2_42_0&matching_block_id=241659010_193960206_2_42_0&sr_pri_blocks=241659010_193960206_2_42_0__8960&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
9,Departamento Frente al Mar Diamond Beach,US$257,9.4,https://www.booking.com/hotel/ec/diamond-beach-tonsupa1234.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=276037501_362561522_2_0_0&highlighted_blocks=276037501_362561522_2_0_0&matching_block_id=276037501_362561522_2_0_0&sr_pri_blocks=276037501_362561522_2_0_0__25650&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
10,Hotel Almond Beach,US$60,8.7,https://www.booking.com/hotel/ec/almond-beach.en-gb.html?label=duc511jc-1FCAIoQUICZWNIM1gDaEGIAQGYAQm4AQfIAQzYAQHoAQH4AQ2IAgGoAgO4AqWU7Z0GwAIB0gIkOTNkY2I5NmYtMjRkZS00OGIzLWJkMDYtN2FjMzBhNGE1NDVh2AIG4AIB&sid=d937cab748728b6d0dd262df88420fff&aid=304142&ucfs=1&arphpl=1&checkin=2023-02-01&checkout=2023-02-03&dest_id=13787&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=45a501b602ec019e&srepoch=1675124078&all_sr_blocks=206241720_335350452_2_2_0&highlighted_blocks=206241720_335350452_2_2_0&matching_block_id=206241720_335350452_2_2_0&sr_pri_blocks=206241720_335350452_2_2_0__6000&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Esmeraldas
